Fri Aug 12 02:08:09 UTC 2022 Starting regionserver on server1
core file size          (blocks, -c) unlimited
2022-08-12 02:08:22,685 INFO  [main] zookeeper.ZooKeeper: se/hbase-2.2.2/lib/okhttp-2.4.0.jar:/hbase/hbase-2.2.2/lib/okio-1.4.0.jar:/hbase/hbase-2.2.2/lib/osgi-resource-locator-1.0.1.jar:/hbase/hbase-2.2.2/lib/paranamer-2.3.jar:/hbase/hbase-2.2.2/lib/protobuf-java-2.5.0.jar:/hbase/hbase-2.2.2/lib/snappy-java-1.0.5.jar:/hbase/hbase-2.2.2/lib/spymemcached-2.12.2.jar:/hbase/hbase-2.2.2/lib/validation-api-1.1.0.Final.jar:/hbase/hbase-2.2.2/lib/xmlenc-0.52.jar:/hbase/hbase-2.2.2/lib/xz-1.0.jar:/hbase/hbase-2.2.2/lib/zookeeper-3.4.10.jar:/hbase/hbase-2.2.2/lib/client-facing-thirdparty/audience-annotations-0.5.0.jar:/hbase/hbase-2.2.2/lib/client-facing-thirdparty/commons-logging-1.2.jar:/hbase/hbase-2.2.2/lib/client-facing-thirdparty/findbugs-annotations-1.3.9-1.jar:/hbase/hbase-2.2.2/lib/client-facing-thirdparty/htrace-core4-4.2.0-incubating.jar:/hbase/hbase-2.2.2/lib/client-facing-thirdparty/log4j-1.2.17.jar:/hbase/hbase-2.2.2/lib/client-facing-thirdparty/slf4j-api-1.7.25.jar:/hbase/hbase-2.2.2/lib/client-facing-thirdparty/slf4j-log4j12-1.7.25.jar
2022-08-12 02:08:22,685 INFO  [main] zookeeper.ZooKeeper: Client environment:java.library.path=/usr/java/packages/lib/amd64:/usr/lib64:/lib64:/lib:/usr/lib
2022-08-12 02:08:22,685 INFO  [main] zookeeper.ZooKeeper: Client environment:java.io.tmpdir=/tmp
2022-08-12 02:08:22,685 INFO  [main] zookeeper.ZooKeeper: Client environment:java.compiler=<NA>
2022-08-12 02:08:22,685 INFO  [main] zookeeper.ZooKeeper: Client environment:os.name=Linux
2022-08-12 02:08:22,685 INFO  [main] zookeeper.ZooKeeper: Client environment:os.arch=amd64
2022-08-12 02:08:22,685 INFO  [main] zookeeper.ZooKeeper: Client environment:os.version=5.15.0-41-generic
2022-08-12 02:08:22,685 INFO  [main] zookeeper.ZooKeeper: Client environment:user.name=root
2022-08-12 02:08:22,685 INFO  [main] zookeeper.ZooKeeper: Client environment:user.home=/root
2022-08-12 02:08:22,685 INFO  [main] zookeeper.ZooKeeper: Client environment:user.dir=/hbase/hbase-2.2.2
2022-08-12 02:08:22,685 INFO  [main] zookeeper.ZooKeeper: Initiating client connection, connectString=10.5.0.7:2181,10.5.0.6:2181,10.5.0.13:2181 sessionTimeout=90000 watcher=org.apache.hadoop.hbase.zookeeper.PendingWatcher@32fdec40
2022-08-12 02:08:22,719 INFO  [main-SendThread(10.5.0.7:2181)] zookeeper.ClientCnxn: Opening socket connection to server 10.5.0.7/10.5.0.7:2181. Will not attempt to authenticate using SASL (unknown error)
2022-08-12 02:08:22,733 INFO  [main-SendThread(10.5.0.7:2181)] zookeeper.ClientCnxn: Socket connection established to 10.5.0.7/10.5.0.7:2181, initiating session
2022-08-12 02:08:22,853 INFO  [main-SendThread(10.5.0.7:2181)] zookeeper.ClientCnxn: Session establishment complete on server 10.5.0.7/10.5.0.7:2181, sessionid = 0x1000013ce2e0001, negotiated timeout = 40000
2022-08-12 02:08:23,237 INFO  [main] util.log: Logging initialized @13664ms
2022-08-12 02:08:23,511 INFO  [main] http.HttpRequestLog: Http request log for http.requests.regionserver is not defined
2022-08-12 02:08:23,553 INFO  [main] http.HttpServer: Added global filter 'safety' (class=org.apache.hadoop.hbase.http.HttpServer$QuotingInputFilter)
2022-08-12 02:08:23,553 INFO  [main] http.HttpServer: Added global filter 'clickjackingprevention' (class=org.apache.hadoop.hbase.http.ClickjackingPreventionFilter)
2022-08-12 02:08:23,565 INFO  [main] http.HttpServer: Added filter static_user_filter (class=org.apache.hadoop.hbase.http.lib.StaticUserWebFilter$StaticUserFilter) to context regionserver
2022-08-12 02:08:23,566 INFO  [main] http.HttpServer: Added filter static_user_filter (class=org.apache.hadoop.hbase.http.lib.StaticUserWebFilter$StaticUserFilter) to context static
2022-08-12 02:08:23,566 INFO  [main] http.HttpServer: Added filter static_user_filter (class=org.apache.hadoop.hbase.http.lib.StaticUserWebFilter$StaticUserFilter) to context logs
2022-08-12 02:08:23,626 INFO  [main] http.HttpServer: ASYNC_PROFILER_HOME environment variable and async.profiler.home system property not specified. Disabling /prof endpoint.
2022-08-12 02:08:23,766 INFO  [main] http.HttpServer: Jetty bound to port 16030
2022-08-12 02:08:23,798 INFO  [main] server.Server: jetty-9.3.27.v20190418, build timestamp: 2019-04-18T18:11:38Z, git hash: d3e249f86955d04bc646bb620905b7c1bc596a8d
2022-08-12 02:08:24,035 INFO  [main] handler.ContextHandler: Started o.e.j.s.ServletContextHandler@5486887b{/logs,file:///hbase/hbase-2.2.2/logs/,AVAILABLE}
2022-08-12 02:08:24,041 INFO  [main] handler.ContextHandler: Started o.e.j.s.ServletContextHandler@1440c311{/static,file:///hbase/hbase-2.2.2/hbase-webapps/static/,AVAILABLE}
2022-08-12 02:08:24,353 INFO  [main] webapp.StandardDescriptorProcessor: NO JSP Support for /, did not find org.eclipse.jetty.jsp.JettyJspServlet
2022-08-12 02:08:24,438 INFO  [main] handler.ContextHandler: Started o.e.j.w.WebAppContext@24fabd0f{/,file:///hbase/hbase-2.2.2/hbase-webapps/regionserver/,AVAILABLE}{file:/hbase/hbase-2.2.2/hbase-webapps/regionserver}
2022-08-12 02:08:24,483 INFO  [main] server.AbstractConnector: Started ServerConnector@52844f53{HTTP/1.1,[http/1.1]}{0.0.0.0:16030}
2022-08-12 02:08:24,483 INFO  [main] server.Server: Started @14911ms
2022-08-12 02:08:28,908 INFO  [regionserver/server1:16020] regionserver.HRegionServer: ClusterId : e64290c3-73b5-4d60-be75-6ef263df9116
2022-08-12 02:08:29,144 INFO  [ReadOnlyZKClient-10.5.0.7:2181,10.5.0.6:2181,10.5.0.13:2181@0x66019d0f] zookeeper.ZooKeeper: Initiating client connection, connectString=10.5.0.7:2181,10.5.0.6:2181,10.5.0.13:2181 sessionTimeout=90000 watcher=org.apache.hadoop.hbase.zookeeper.ReadOnlyZKClient$$Lambda$41/1486194369@1d9703b7
2022-08-12 02:08:29,169 INFO  [ReadOnlyZKClient-10.5.0.7:2181,10.5.0.6:2181,10.5.0.13:2181@0x66019d0f-SendThread(10.5.0.7:2181)] zookeeper.ClientCnxn: Opening socket connection to server 10.5.0.7/10.5.0.7:2181. Will not attempt to authenticate using SASL (unknown error)
2022-08-12 02:08:29,170 INFO  [ReadOnlyZKClient-10.5.0.7:2181,10.5.0.6:2181,10.5.0.13:2181@0x66019d0f-SendThread(10.5.0.7:2181)] zookeeper.ClientCnxn: Socket connection established to 10.5.0.7/10.5.0.7:2181, initiating session
2022-08-12 02:08:29,188 INFO  [ReadOnlyZKClient-10.5.0.7:2181,10.5.0.6:2181,10.5.0.13:2181@0x66019d0f-SendThread(10.5.0.7:2181)] zookeeper.ClientCnxn: Session establishment complete on server 10.5.0.7/10.5.0.7:2181, sessionid = 0x1000013ce2e0005, negotiated timeout = 40000
2022-08-12 02:08:29,293 INFO  [regionserver/server1:16020] regionserver.RegionServerCoprocessorHost: System coprocessor loading is enabled
2022-08-12 02:08:29,293 INFO  [regionserver/server1:16020] regionserver.RegionServerCoprocessorHost: Table coprocessor loading is enabled
2022-08-12 02:08:29,313 INFO  [regionserver/server1:16020] regionserver.HRegionServer: reportForDuty to master=server1,16000,1660270092224 with port=16020, startcode=1660270093926
2022-08-12 02:08:29,698 WARN  [regionserver/server1:16020] regionserver.HRegionServer: reportForDuty failed; sleeping 3000 ms and then retrying.
2022-08-12 02:08:32,700 INFO  [regionserver/server1:16020] regionserver.HRegionServer: reportForDuty to master=server1,16000,1660270092224 with port=16020, startcode=1660270093926
2022-08-12 02:08:32,762 INFO  [regionserver/server1:16020] wal.WALFactory: Instantiating WALProvider of type class org.apache.hadoop.hbase.wal.AsyncFSWALProvider
2022-08-12 02:08:33,075 INFO  [regionserver/server1:16020] regionserver.MetricsRegionServerWrapperImpl: Computing regionserver metrics every 5000 milliseconds
2022-08-12 02:08:33,142 INFO  [regionserver/server1:16020] regionserver.MemStoreFlusher: globalMemStoreLimit=704 M, globalMemStoreLimitLowMark=668.8 M, Offheap=false
2022-08-12 02:08:33,208 INFO  [regionserver/server1:16020] throttle.PressureAwareCompactionThroughputController: Compaction throughput configurations, higher bound: 20.00 MB/second, lower bound 10.00 MB/second, off peak: unlimited, tuning period: 60000 ms
2022-08-12 02:08:33,218 INFO  [regionserver/server1:16020] regionserver.HRegionServer: CompactionChecker runs every PT10S
2022-08-12 02:08:33,454 INFO  [SplitLogWorker-server1:16020] regionserver.SplitLogWorker: SplitLogWorker server1,16020,1660270093926 starting
2022-08-12 02:08:33,487 INFO  [regionserver/server1:16020] regionserver.HeapMemoryManager: Starting, tuneOn=false
2022-08-12 02:08:33,506 INFO  [regionserver/server1:16020] regionserver.ChunkCreator: Allocating data MemStoreChunkPool with chunk size 2 MB, max count 316, initial count 0
2022-08-12 02:08:33,511 INFO  [regionserver/server1:16020] regionserver.ChunkCreator: Allocating index MemStoreChunkPool with chunk size 204.80 KB, max count 352, initial count 0
2022-08-12 02:08:33,579 INFO  [regionserver/server1:16020] regionserver.HRegionServer: Serving as server1,16020,1660270093926, RpcServer on server1/10.5.0.7:16020, sessionid=0x1000013ce2e0001
2022-08-12 02:08:33,595 INFO  [regionserver/server1:16020] quotas.RegionServerRpcQuotaManager: Quota support disabled
2022-08-12 02:08:33,596 INFO  [regionserver/server1:16020] quotas.RegionServerSpaceQuotaManager: Quota support disabled, not starting space quota manager.
2022-08-12 02:08:36,626 INFO  [regionserver/server1:16020] wal.AbstractFSWAL: WAL configuration: blocksize=256 MB, rollsize=128 MB, prefix=server1%2C16020%2C1660270093926, suffix=, logDir=hdfs://mycluster/hbase/WALs/server1,16020,1660270093926, archiveDir=hdfs://mycluster/hbase/oldWALs
2022-08-12 02:08:36,810 INFO  [regionserver/server1:16020] wal.AbstractFSWAL: New WAL /hbase/WALs/server1,16020,1660270093926/server1%2C16020%2C1660270093926.1660270116641
2022-08-12 02:08:59,564 INFO  [ReadOnlyZKClient-10.5.0.7:2181,10.5.0.6:2181,10.5.0.13:2181@0x66019d0f-SendThread(10.5.0.7:2181)] zookeeper.ClientCnxn: Unable to read additional data from server sessionid 0x1000013ce2e0005, likely server has closed socket, closing socket connection and attempting reconnect
2022-08-12 02:08:59,565 INFO  [main-SendThread(10.5.0.7:2181)] zookeeper.ClientCnxn: Unable to read additional data from server sessionid 0x1000013ce2e0001, likely server has closed socket, closing socket connection and attempting reconnect
2022-08-12 02:09:00,216 INFO  [ReadOnlyZKClient-10.5.0.7:2181,10.5.0.6:2181,10.5.0.13:2181@0x66019d0f-SendThread(10.5.0.13:2181)] zookeeper.ClientCnxn: Opening socket connection to server 10.5.0.13/10.5.0.13:2181. Will not attempt to authenticate using SASL (unknown error)
2022-08-12 02:09:00,455 INFO  [main-SendThread(10.5.0.6:2181)] zookeeper.ClientCnxn: Opening socket connection to server 10.5.0.6/10.5.0.6:2181. Will not attempt to authenticate using SASL (unknown error)
2022-08-12 02:09:00,455 INFO  [main-SendThread(10.5.0.6:2181)] zookeeper.ClientCnxn: Socket connection established to 10.5.0.6/10.5.0.6:2181, initiating session
2022-08-12 02:09:00,460 INFO  [main-SendThread(10.5.0.6:2181)] zookeeper.ClientCnxn: Session establishment complete on server 10.5.0.6/10.5.0.6:2181, sessionid = 0x1000013ce2e0001, negotiated timeout = 40000
2022-08-12 02:09:00,505 INFO  [main-SendThread(10.5.0.6:2181)] zookeeper.ClientCnxn: Unable to read additional data from server sessionid 0x1000013ce2e0001, likely server has closed socket, closing socket connection and attempting reconnect
