Fri Aug 12 02:08:09 UTC 2022 Starting regionserver on server2
core file size          (blocks, -c) unlimited
2022-08-12 02:08:23,122 INFO  [main] zookeeper.ZooKeeper: se/hbase-2.2.2/lib/okhttp-2.4.0.jar:/hbase/hbase-2.2.2/lib/okio-1.4.0.jar:/hbase/hbase-2.2.2/lib/osgi-resource-locator-1.0.1.jar:/hbase/hbase-2.2.2/lib/paranamer-2.3.jar:/hbase/hbase-2.2.2/lib/protobuf-java-2.5.0.jar:/hbase/hbase-2.2.2/lib/snappy-java-1.0.5.jar:/hbase/hbase-2.2.2/lib/spymemcached-2.12.2.jar:/hbase/hbase-2.2.2/lib/validation-api-1.1.0.Final.jar:/hbase/hbase-2.2.2/lib/xmlenc-0.52.jar:/hbase/hbase-2.2.2/lib/xz-1.0.jar:/hbase/hbase-2.2.2/lib/zookeeper-3.4.10.jar:/hbase/hbase-2.2.2/lib/client-facing-thirdparty/audience-annotations-0.5.0.jar:/hbase/hbase-2.2.2/lib/client-facing-thirdparty/commons-logging-1.2.jar:/hbase/hbase-2.2.2/lib/client-facing-thirdparty/findbugs-annotations-1.3.9-1.jar:/hbase/hbase-2.2.2/lib/client-facing-thirdparty/htrace-core4-4.2.0-incubating.jar:/hbase/hbase-2.2.2/lib/client-facing-thirdparty/log4j-1.2.17.jar:/hbase/hbase-2.2.2/lib/client-facing-thirdparty/slf4j-api-1.7.25.jar:/hbase/hbase-2.2.2/lib/client-facing-thirdparty/slf4j-log4j12-1.7.25.jar
2022-08-12 02:08:23,123 INFO  [main] zookeeper.ZooKeeper: Client environment:java.library.path=/usr/java/packages/lib/amd64:/usr/lib64:/lib64:/lib:/usr/lib
2022-08-12 02:08:23,123 INFO  [main] zookeeper.ZooKeeper: Client environment:java.io.tmpdir=/tmp
2022-08-12 02:08:23,123 INFO  [main] zookeeper.ZooKeeper: Client environment:java.compiler=<NA>
2022-08-12 02:08:23,123 INFO  [main] zookeeper.ZooKeeper: Client environment:os.name=Linux
2022-08-12 02:08:23,123 INFO  [main] zookeeper.ZooKeeper: Client environment:os.arch=amd64
2022-08-12 02:08:23,123 INFO  [main] zookeeper.ZooKeeper: Client environment:os.version=5.15.0-41-generic
2022-08-12 02:08:23,123 INFO  [main] zookeeper.ZooKeeper: Client environment:user.name=root
2022-08-12 02:08:23,123 INFO  [main] zookeeper.ZooKeeper: Client environment:user.home=/root
2022-08-12 02:08:23,123 INFO  [main] zookeeper.ZooKeeper: Client environment:user.dir=/hbase/hbase-2.2.2
2022-08-12 02:08:23,124 INFO  [main] zookeeper.ZooKeeper: Initiating client connection, connectString=10.5.0.7:2181,10.5.0.6:2181,10.5.0.13:2181 sessionTimeout=90000 watcher=org.apache.hadoop.hbase.zookeeper.PendingWatcher@99a65d3
2022-08-12 02:08:23,262 INFO  [main-SendThread(10.5.0.7:2181)] zookeeper.ClientCnxn: Opening socket connection to server 10.5.0.7/10.5.0.7:2181. Will not attempt to authenticate using SASL (unknown error)
2022-08-12 02:08:23,288 INFO  [main-SendThread(10.5.0.7:2181)] zookeeper.ClientCnxn: Socket connection established to 10.5.0.7/10.5.0.7:2181, initiating session
2022-08-12 02:08:23,333 INFO  [main-SendThread(10.5.0.7:2181)] zookeeper.ClientCnxn: Session establishment complete on server 10.5.0.7/10.5.0.7:2181, sessionid = 0x1000013ce2e0002, negotiated timeout = 40000
2022-08-12 02:08:23,876 INFO  [main] util.log: Logging initialized @14252ms
2022-08-12 02:08:24,168 INFO  [main] http.HttpRequestLog: Http request log for http.requests.regionserver is not defined
2022-08-12 02:08:24,243 INFO  [main] http.HttpServer: Added global filter 'safety' (class=org.apache.hadoop.hbase.http.HttpServer$QuotingInputFilter)
2022-08-12 02:08:24,243 INFO  [main] http.HttpServer: Added global filter 'clickjackingprevention' (class=org.apache.hadoop.hbase.http.ClickjackingPreventionFilter)
2022-08-12 02:08:24,286 INFO  [main] http.HttpServer: Added filter static_user_filter (class=org.apache.hadoop.hbase.http.lib.StaticUserWebFilter$StaticUserFilter) to context regionserver
2022-08-12 02:08:24,289 INFO  [main] http.HttpServer: Added filter static_user_filter (class=org.apache.hadoop.hbase.http.lib.StaticUserWebFilter$StaticUserFilter) to context logs
2022-08-12 02:08:24,299 INFO  [main] http.HttpServer: Added filter static_user_filter (class=org.apache.hadoop.hbase.http.lib.StaticUserWebFilter$StaticUserFilter) to context static
2022-08-12 02:08:24,377 INFO  [main] http.HttpServer: ASYNC_PROFILER_HOME environment variable and async.profiler.home system property not specified. Disabling /prof endpoint.
2022-08-12 02:08:24,529 INFO  [main] http.HttpServer: Jetty bound to port 16030
2022-08-12 02:08:24,530 INFO  [main] server.Server: jetty-9.3.27.v20190418, build timestamp: 2019-04-18T18:11:38Z, git hash: d3e249f86955d04bc646bb620905b7c1bc596a8d
2022-08-12 02:08:24,780 INFO  [main] handler.ContextHandler: Started o.e.j.s.ServletContextHandler@1e6308a9{/logs,file:///hbase/hbase-2.2.2/logs/,AVAILABLE}
2022-08-12 02:08:24,780 INFO  [main] handler.ContextHandler: Started o.e.j.s.ServletContextHandler@6edc4161{/static,file:///hbase/hbase-2.2.2/hbase-webapps/static/,AVAILABLE}
2022-08-12 02:08:25,221 INFO  [main] webapp.StandardDescriptorProcessor: NO JSP Support for /, did not find org.eclipse.jetty.jsp.JettyJspServlet
2022-08-12 02:08:25,417 INFO  [main] handler.ContextHandler: Started o.e.j.w.WebAppContext@23e44287{/,file:///hbase/hbase-2.2.2/hbase-webapps/regionserver/,AVAILABLE}{file:/hbase/hbase-2.2.2/hbase-webapps/regionserver}
2022-08-12 02:08:25,426 INFO  [main] server.AbstractConnector: Started ServerConnector@60dd3c23{HTTP/1.1,[http/1.1]}{0.0.0.0:16030}
2022-08-12 02:08:25,426 INFO  [main] server.Server: Started @15802ms
2022-08-12 02:08:28,743 INFO  [regionserver/server2:16020] regionserver.HRegionServer: ClusterId : e64290c3-73b5-4d60-be75-6ef263df9116
2022-08-12 02:08:28,949 INFO  [ReadOnlyZKClient-10.5.0.7:2181,10.5.0.6:2181,10.5.0.13:2181@0x31ae97a3] zookeeper.ZooKeeper: Initiating client connection, connectString=10.5.0.7:2181,10.5.0.6:2181,10.5.0.13:2181 sessionTimeout=90000 watcher=org.apache.hadoop.hbase.zookeeper.ReadOnlyZKClient$$Lambda$41/757379394@68262a82
2022-08-12 02:08:28,975 INFO  [ReadOnlyZKClient-10.5.0.7:2181,10.5.0.6:2181,10.5.0.13:2181@0x31ae97a3-SendThread(10.5.0.7:2181)] zookeeper.ClientCnxn: Opening socket connection to server 10.5.0.7/10.5.0.7:2181. Will not attempt to authenticate using SASL (unknown error)
2022-08-12 02:08:28,983 INFO  [ReadOnlyZKClient-10.5.0.7:2181,10.5.0.6:2181,10.5.0.13:2181@0x31ae97a3-SendThread(10.5.0.7:2181)] zookeeper.ClientCnxn: Socket connection established to 10.5.0.7/10.5.0.7:2181, initiating session
2022-08-12 02:08:29,007 INFO  [ReadOnlyZKClient-10.5.0.7:2181,10.5.0.6:2181,10.5.0.13:2181@0x31ae97a3-SendThread(10.5.0.7:2181)] zookeeper.ClientCnxn: Session establishment complete on server 10.5.0.7/10.5.0.7:2181, sessionid = 0x1000013ce2e0004, negotiated timeout = 40000
2022-08-12 02:08:29,122 INFO  [regionserver/server2:16020] regionserver.RegionServerCoprocessorHost: System coprocessor loading is enabled
2022-08-12 02:08:29,123 INFO  [regionserver/server2:16020] regionserver.RegionServerCoprocessorHost: Table coprocessor loading is enabled
2022-08-12 02:08:29,132 INFO  [regionserver/server2:16020] regionserver.HRegionServer: reportForDuty to master=server1,16000,1660270092224 with port=16020, startcode=1660270093369
2022-08-12 02:08:29,643 WARN  [regionserver/server2:16020] regionserver.HRegionServer: reportForDuty failed; sleeping 3000 ms and then retrying.
2022-08-12 02:08:32,646 INFO  [regionserver/server2:16020] regionserver.HRegionServer: reportForDuty to master=server1,16000,1660270092224 with port=16020, startcode=1660270093369
2022-08-12 02:08:32,699 INFO  [regionserver/server2:16020] wal.WALFactory: Instantiating WALProvider of type class org.apache.hadoop.hbase.wal.AsyncFSWALProvider
2022-08-12 02:08:32,918 INFO  [regionserver/server2:16020] regionserver.MetricsRegionServerWrapperImpl: Computing regionserver metrics every 5000 milliseconds
2022-08-12 02:08:32,982 INFO  [regionserver/server2:16020] regionserver.MemStoreFlusher: globalMemStoreLimit=704 M, globalMemStoreLimitLowMark=668.8 M, Offheap=false
2022-08-12 02:08:32,992 INFO  [regionserver/server2:16020] throttle.PressureAwareCompactionThroughputController: Compaction throughput configurations, higher bound: 20.00 MB/second, lower bound 10.00 MB/second, off peak: unlimited, tuning period: 60000 ms
2022-08-12 02:08:32,993 INFO  [regionserver/server2:16020] regionserver.HRegionServer: CompactionChecker runs every PT10S
2022-08-12 02:08:33,094 INFO  [SplitLogWorker-server2:16020] regionserver.SplitLogWorker: SplitLogWorker server2,16020,1660270093369 starting
2022-08-12 02:08:33,097 INFO  [regionserver/server2:16020] regionserver.HeapMemoryManager: Starting, tuneOn=false
2022-08-12 02:08:33,119 INFO  [regionserver/server2:16020] regionserver.ChunkCreator: Allocating data MemStoreChunkPool with chunk size 2 MB, max count 316, initial count 0
2022-08-12 02:08:33,121 INFO  [regionserver/server2:16020] regionserver.ChunkCreator: Allocating index MemStoreChunkPool with chunk size 204.80 KB, max count 352, initial count 0
2022-08-12 02:08:33,204 INFO  [regionserver/server2:16020] regionserver.HRegionServer: Serving as server2,16020,1660270093369, RpcServer on server2/10.5.0.6:16020, sessionid=0x1000013ce2e0002
2022-08-12 02:08:33,251 INFO  [regionserver/server2:16020] quotas.RegionServerRpcQuotaManager: Quota support disabled
2022-08-12 02:08:33,251 INFO  [regionserver/server2:16020] quotas.RegionServerSpaceQuotaManager: Quota support disabled, not starting space quota manager.
2022-08-12 02:08:33,600 INFO  [RS_CLOSE_META-regionserver/server2:16020-0] handler.AssignRegionHandler: Open hbase:meta,,1.1588230740
2022-08-12 02:08:33,600 INFO  [RS_CLOSE_META-regionserver/server2:16020-0] wal.WALFactory: Instantiating WALProvider of type class org.apache.hadoop.hbase.wal.AsyncFSWALProvider
2022-08-12 02:08:33,648 INFO  [RS_CLOSE_META-regionserver/server2:16020-0] wal.AbstractFSWAL: WAL configuration: blocksize=256 MB, rollsize=128 MB, prefix=server2%2C16020%2C1660270093369.meta, suffix=.meta, logDir=hdfs://mycluster/hbase/WALs/server2,16020,1660270093369, archiveDir=hdfs://mycluster/hbase/oldWALs
2022-08-12 02:08:33,855 INFO  [RS_CLOSE_META-regionserver/server2:16020-0] wal.AbstractFSWAL: New WAL /hbase/WALs/server2,16020,1660270093369/server2%2C16020%2C1660270093369.meta.1660270113673.meta
2022-08-12 02:08:34,005 INFO  [RS_CLOSE_META-regionserver/server2:16020-0] regionserver.RegionCoprocessorHost: Loaded coprocessor org.apache.hadoop.hbase.coprocessor.MultiRowMutationEndpoint from HTD of hbase:meta successfully.
2022-08-12 02:08:34,094 INFO  [StoreOpener-1588230740-1] hfile.CacheConfig: Created cacheConfig: cacheDataOnRead=true, cacheDataOnWrite=false, cacheIndexesOnWrite=false, cacheBloomsOnWrite=false, cacheEvictOnClose=false, cacheDataCompressed=false, prefetchOnOpen=false for family {NAME => 'info', VERSIONS => '3', EVICT_BLOCKS_ON_CLOSE => 'false', NEW_VERSION_BEHAVIOR => 'false', KEEP_DELETED_CELLS => 'FALSE', CACHE_DATA_ON_WRITE => 'false', DATA_BLOCK_ENCODING => 'NONE', TTL => 'FOREVER', MIN_VERSIONS => '0', REPLICATION_SCOPE => '0', BLOOMFILTER => 'NONE', CACHE_INDEX_ON_WRITE => 'false', IN_MEMORY => 'true', CACHE_BLOOMS_ON_WRITE => 'false', PREFETCH_BLOCKS_ON_OPEN => 'false', COMPRESSION => 'NONE', BLOCKCACHE => 'true', BLOCKSIZE => '8192'} with blockCache=LruBlockCache{blockCount=0, currentSize=528.98 KB, freeSize=703.48 MB, maxSize=704 MB, heapSize=528.98 KB, minSize=668.80 MB, minFactor=0.95, multiSize=334.40 MB, multiFactor=0.5, singleSize=167.20 MB, singleFactor=0.25}
2022-08-12 02:08:34,104 INFO  [StoreOpener-1588230740-1] compactions.CompactionConfiguration: size [128 MB, 8.00 EB, 8.00 EB); files [3, 10); ratio 1.200000; off-peak ratio 5.000000; throttle point 2684354560; major period 604800000, major jitter 0.500000, min locality to compact 0.000000; tiered compaction: max_age 9223372036854775807, incoming window min 6, compaction policy for tiered window org.apache.hadoop.hbase.regionserver.compactions.ExploringCompactionPolicy, single output for minor true, compaction window factory org.apache.hadoop.hbase.regionserver.compactions.ExponentialCompactionWindowFactory
2022-08-12 02:08:34,124 INFO  [StoreOpener-1588230740-1] regionserver.HStore: Store=info,  memstore type=DefaultMemStore, storagePolicy=HOT, verifyBulkLoads=false, parallelPutCountPrintThreshold=50, encoding=NONE, compression=NONE
2022-08-12 02:08:34,139 INFO  [StoreOpener-1588230740-1] hfile.CacheConfig: Created cacheConfig: cacheDataOnRead=true, cacheDataOnWrite=false, cacheIndexesOnWrite=false, cacheBloomsOnWrite=false, cacheEvictOnClose=false, cacheDataCompressed=false, prefetchOnOpen=false for family {NAME => 'rep_barrier', VERSIONS => '2147483647', EVICT_BLOCKS_ON_CLOSE => 'false', NEW_VERSION_BEHAVIOR => 'false', KEEP_DELETED_CELLS => 'FALSE', CACHE_DATA_ON_WRITE => 'false', DATA_BLOCK_ENCODING => 'NONE', TTL => 'FOREVER', MIN_VERSIONS => '0', REPLICATION_SCOPE => '0', BLOOMFILTER => 'NONE', CACHE_INDEX_ON_WRITE => 'false', IN_MEMORY => 'true', CACHE_BLOOMS_ON_WRITE => 'false', PREFETCH_BLOCKS_ON_OPEN => 'false', COMPRESSION => 'NONE', BLOCKCACHE => 'true', BLOCKSIZE => '65536'} with blockCache=LruBlockCache{blockCount=0, currentSize=528.98 KB, freeSize=703.48 MB, maxSize=704 MB, heapSize=528.98 KB, minSize=668.80 MB, minFactor=0.95, multiSize=334.40 MB, multiFactor=0.5, singleSize=167.20 MB, singleFactor=0.25}
2022-08-12 02:08:34,140 INFO  [StoreOpener-1588230740-1] compactions.CompactionConfiguration: size [128 MB, 8.00 EB, 8.00 EB); files [3, 10); ratio 1.200000; off-peak ratio 5.000000; throttle point 2684354560; major period 604800000, major jitter 0.500000, min locality to compact 0.000000; tiered compaction: max_age 9223372036854775807, incoming window min 6, compaction policy for tiered window org.apache.hadoop.hbase.regionserver.compactions.ExploringCompactionPolicy, single output for minor true, compaction window factory org.apache.hadoop.hbase.regionserver.compactions.ExponentialCompactionWindowFactory
2022-08-12 02:08:34,144 INFO  [StoreOpener-1588230740-1] regionserver.HStore: Store=rep_barrier,  memstore type=DefaultMemStore, storagePolicy=HOT, verifyBulkLoads=false, parallelPutCountPrintThreshold=50, encoding=NONE, compression=NONE
2022-08-12 02:08:34,160 INFO  [StoreOpener-1588230740-1] hfile.CacheConfig: Created cacheConfig: cacheDataOnRead=true, cacheDataOnWrite=false, cacheIndexesOnWrite=false, cacheBloomsOnWrite=false, cacheEvictOnClose=false, cacheDataCompressed=false, prefetchOnOpen=false for family {NAME => 'table', VERSIONS => '3', EVICT_BLOCKS_ON_CLOSE => 'false', NEW_VERSION_BEHAVIOR => 'false', KEEP_DELETED_CELLS => 'FALSE', CACHE_DATA_ON_WRITE => 'false', DATA_BLOCK_ENCODING => 'NONE', TTL => 'FOREVER', MIN_VERSIONS => '0', REPLICATION_SCOPE => '0', BLOOMFILTER => 'NONE', CACHE_INDEX_ON_WRITE => 'false', IN_MEMORY => 'true', CACHE_BLOOMS_ON_WRITE => 'false', PREFETCH_BLOCKS_ON_OPEN => 'false', COMPRESSION => 'NONE', BLOCKCACHE => 'true', BLOCKSIZE => '8192'} with blockCache=LruBlockCache{blockCount=0, currentSize=528.98 KB, freeSize=703.48 MB, maxSize=704 MB, heapSize=528.98 KB, minSize=668.80 MB, minFactor=0.95, multiSize=334.40 MB, multiFactor=0.5, singleSize=167.20 MB, singleFactor=0.25}
2022-08-12 02:08:34,161 INFO  [StoreOpener-1588230740-1] compactions.CompactionConfiguration: size [128 MB, 8.00 EB, 8.00 EB); files [3, 10); ratio 1.200000; off-peak ratio 5.000000; throttle point 2684354560; major period 604800000, major jitter 0.500000, min locality to compact 0.000000; tiered compaction: max_age 9223372036854775807, incoming window min 6, compaction policy for tiered window org.apache.hadoop.hbase.regionserver.compactions.ExploringCompactionPolicy, single output for minor true, compaction window factory org.apache.hadoop.hbase.regionserver.compactions.ExponentialCompactionWindowFactory
2022-08-12 02:08:34,165 INFO  [StoreOpener-1588230740-1] regionserver.HStore: Store=table,  memstore type=DefaultMemStore, storagePolicy=HOT, verifyBulkLoads=false, parallelPutCountPrintThreshold=50, encoding=NONE, compression=NONE
2022-08-12 02:08:34,250 INFO  [RS_CLOSE_META-regionserver/server2:16020-0] regionserver.HRegion: Opened 1588230740; next sequenceid=2
